ID,Valores,Valores_codificados
8476,FAKE,0
10294,FAKE,0
3608,REAL,1
10142,FAKE,0
875,REAL,1
6903,FAKE,0
7341,FAKE,0
95,REAL,1
4869,REAL,1
2909,REAL,1
1357,REAL,1
988,REAL,1
7041,FAKE,0
7623,FAKE,0
1571,REAL,1
4739,REAL,1
7737,FAKE,0
8716,FAKE,0
3304,REAL,1
3078,REAL,1
2517,REAL,1
10348,FAKE,0
778,REAL,1
3300,REAL,1
6155,FAKE,0
636,REAL,1
755,REAL,1
626,REAL,1
691,REAL,1
5743,FAKE,0
1787,REAL,1
7808,FAKE,0
6484,FAKE,0
7385,FAKE,0
9016,FAKE,0
9324,FAKE,0
8983,FAKE,0
8965,FAKE,0
5580,FAKE,0
9757,FAKE,0
1967,REAL,1
431,REAL,1
5955,FAKE,0
7455,FAKE,0
5224,REAL,1
7793,FAKE,0
2777,REAL,1
587,REAL,1
9403,FAKE,0
5931,FAKE,0
3027,REAL,1
4377,REAL,1
5937,FAKE,0
7277,FAKE,0
5521,FAKE,0
3627,REAL,1
9360,FAKE,0
909,REAL,1
6646,FAKE,0
1522,REAL,1
7540,FAKE,0
1834,REAL,1
1775,REAL,1
8212,FAKE,0
3363,REAL,1
1084,REAL,1
4410,REAL,1
2669,REAL,1
3648,REAL,1
6197,FAKE,0
596,REAL,1
6061,FAKE,0
1569,REAL,1
1178,REAL,1
9545,FAKE,0
1506,REAL,1
1641,REAL,1
139,REAL,1
7744,FAKE,0
8177,FAKE,0
4134,REAL,1
917,REAL,1
3854,REAL,1
7049,FAKE,0
3343,REAL,1
4348,REAL,1
3424,REAL,1
1718,REAL,1
143,REAL,1
930,REAL,1
1661,REAL,1
7801,FAKE,0
10232,FAKE,0
1360,REAL,1
3635,REAL,1
8290,FAKE,0
6227,FAKE,0
3255,REAL,1
3177,REAL,1
2832,REAL,1
4294,REAL,1
5316,FAKE,0
1524,REAL,1
2974,REAL,1
3364,REAL,1
4933,REAL,1
5530,FAKE,0
7680,FAKE,0
10490,FAKE,0
9413,FAKE,0
4880,REAL,1
3512,REAL,1
8685,FAKE,0
6763,FAKE,0
7730,FAKE,0
2546,REAL,1
2596,REAL,1
7362,FAKE,0
7513,FAKE,0
1475,REAL,1
2232,REAL,1
6247,FAKE,0
127,REAL,1
6025,FAKE,0
10122,FAKE,0
4979,REAL,1
1700,REAL,1
9398,FAKE,0
10427,FAKE,0
7099,FAKE,0
4500,REAL,1
8013,FAKE,0
2199,REAL,1
4943,REAL,1
10092,FAKE,0
9121,FAKE,0
8122,FAKE,0
8988,FAKE,0
2115,REAL,1
8682,FAKE,0
6350,FAKE,0
4597,REAL,1
7818,FAKE,0
677,REAL,1
6408,FAKE,0
3004,REAL,1
8357,FAKE,0
10511,FAKE,0
8322,FAKE,0
6212,FAKE,0
172,REAL,1
6920,FAKE,0
9468,FAKE,0
6460,FAKE,0
5202,REAL,1
6809,FAKE,0
2802,REAL,1
1329,REAL,1
4114,REAL,1
6527,FAKE,0
4354,REAL,1
3138,REAL,1
9447,FAKE,0
7256,FAKE,0
421,REAL,1
7228,FAKE,0
2850,REAL,1
7628,FAKE,0
8918,FAKE,0
51,REAL,1
7711,FAKE,0
9295,FAKE,0
7474,FAKE,0
186,REAL,1
7661,FAKE,0
7443,FAKE,0
3700,REAL,1
8210,FAKE,0
5040,REAL,1
9756,FAKE,0
2305,REAL,1
2228,REAL,1
3008,REAL,1
6851,FAKE,0
3872,REAL,1
1884,REAL,1
4239,REAL,1
3282,REAL,1
9239,FAKE,0
4532,REAL,1
4130,REAL,1
6815,FAKE,0
599,REAL,1
4577,REAL,1
7154,FAKE,0
7757,FAKE,0
1934,REAL,1
9557,FAKE,0
5297,FAKE,0
5075,REAL,1
2076,REAL,1
8142,FAKE,0
4714,REAL,1
6176,FAKE,0
9402,FAKE,0
6948,FAKE,0
4911,REAL,1
9991,FAKE,0
10555,FAKE,0
8549,FAKE,0
2834,REAL,1
6035,FAKE,0
2281,REAL,1
9134,FAKE,0
6407,FAKE,0
1938,REAL,1
1255,REAL,1
4618,REAL,1
3602,REAL,1
6841,FAKE,0
8756,FAKE,0
5918,FAKE,0
384,REAL,1
4492,REAL,1
2432,REAL,1
5307,FAKE,0
8484,FAKE,0
9948,FAKE,0
2916,REAL,1
6058,FAKE,0
4713,REAL,1
8767,FAKE,0
4217,REAL,1
1770,REAL,1
9394,FAKE,0
8428,FAKE,0
3427,REAL,1
658,REAL,1
10357,FAKE,0
4865,REAL,1
4031,REAL,1
10257,FAKE,0
2586,REAL,1
4045,REAL,1
4632,REAL,1
71,REAL,1
7577,FAKE,0
1108,REAL,1
9485,FAKE,0
4701,REAL,1
4929,REAL,1
6698,FAKE,0
667,REAL,1
8516,FAKE,0
3382,REAL,1
10048,FAKE,0
5199,REAL,1
1809,REAL,1
5724,FAKE,0
2812,REAL,1
4666,REAL,1
7892,FAKE,0
9935,FAKE,0
6810,FAKE,0
5847,FAKE,0
7815,FAKE,0
10183,FAKE,0
6768,FAKE,0
10203,FAKE,0
4808,REAL,1
9953,FAKE,0
9625,FAKE,0
4411,REAL,1
1754,REAL,1
6872,FAKE,0
854,REAL,1
3137,REAL,1
8643,FAKE,0
2010,REAL,1
9265,FAKE,0
1109,REAL,1
3592,REAL,1
5468,FAKE,0
9044,FAKE,0
6203,FAKE,0
6316,FAKE,0
3147,REAL,1
4318,REAL,1
1905,REAL,1
4051,REAL,1
3852,REAL,1
6850,FAKE,0
205,REAL,1
6327,FAKE,0
6442,FAKE,0
3326,REAL,1
2968,REAL,1
3107,REAL,1
1284,REAL,1
2989,REAL,1
6801,FAKE,0
3866,REAL,1
9196,FAKE,0
4796,REAL,1
9676,FAKE,0
961,REAL,1
273,REAL,1
3398,REAL,1
10194,FAKE,0
263,REAL,1
1242,REAL,1
2840,REAL,1
8772,FAKE,0
6862,FAKE,0
6871,FAKE,0
7391,FAKE,0
1570,REAL,1
2463,REAL,1
4469,REAL,1
2507,REAL,1
9283,FAKE,0
8646,FAKE,0
6784,FAKE,0
1610,REAL,1
9508,FAKE,0
4107,REAL,1
3474,REAL,1
8197,FAKE,0
1181,REAL,1
624,REAL,1
5575,FAKE,0
2042,REAL,1
8114,FAKE,0
10246,FAKE,0
9029,FAKE,0
1680,REAL,1
2874,REAL,1
6448,FAKE,0
8294,FAKE,0
5244,REAL,1
7338,FAKE,0
5926,FAKE,0
5914,FAKE,0
3888,REAL,1
763,REAL,1
739,REAL,1
9961,FAKE,0
1338,REAL,1
5258,REAL,1
4053,REAL,1
2678,REAL,1
3495,REAL,1
4930,REAL,1
4904,REAL,1
6391,FAKE,0
3146,REAL,1
4489,REAL,1
9521,FAKE,0
4454,REAL,1
4708,REAL,1
9340,FAKE,0
8145,FAKE,0
1461,REAL,1
440,REAL,1
7844,FAKE,0
3851,REAL,1
334,REAL,1
7928,FAKE,0
9168,FAKE,0
6455,FAKE,0
3767,REAL,1
6135,FAKE,0
5215,REAL,1
5207,REAL,1
10021,FAKE,0
5035,REAL,1
3103,REAL,1
6775,FAKE,0
8263,FAKE,0
1376,REAL,1
6494,FAKE,0
1510,REAL,1
356,REAL,1
8521,FAKE,0
5722,FAKE,0
2683,REAL,1
8340,FAKE,0
4020,REAL,1
7006,FAKE,0
3226,REAL,1
6287,FAKE,0
7119,FAKE,0
3375,REAL,1
3106,REAL,1
6804,FAKE,0
5352,FAKE,0
2339,REAL,1
7771,FAKE,0
2422,REAL,1
1597,REAL,1
4261,REAL,1
2640,REAL,1
10454,FAKE,0
4477,REAL,1
5184,REAL,1
4648,REAL,1
3144,REAL,1
1784,REAL,1
9814,FAKE,0
800,REAL,1
1518,REAL,1
6429,FAKE,0
3938,REAL,1
3638,REAL,1
6918,FAKE,0
9825,FAKE,0
7713,FAKE,0
1829,REAL,1
6995,FAKE,0
2845,REAL,1
317,REAL,1
3302,REAL,1
9645,FAKE,0
9251,FAKE,0
8146,FAKE,0
9722,FAKE,0
162,REAL,1
151,REAL,1
6170,FAKE,0
2714,REAL,1
3327,REAL,1
4147,REAL,1
751,REAL,1
3993,REAL,1
3664,REAL,1
5438,FAKE,0
6329,FAKE,0
4455,REAL,1
9769,FAKE,0
235,REAL,1
4359,REAL,1
2462,REAL,1
7877,FAKE,0
5305,FAKE,0
8824,FAKE,0
9453,FAKE,0
4289,REAL,1
5434,FAKE,0
6665,FAKE,0
743,REAL,1
9554,FAKE,0
8925,FAKE,0
5061,REAL,1
7953,FAKE,0
1146,REAL,1
6588,FAKE,0
9586,FAKE,0
6299,FAKE,0
10314,FAKE,0
9648,FAKE,0
9437,FAKE,0
9444,FAKE,0
1027,REAL,1
9560,FAKE,0
5237,REAL,1
8133,FAKE,0
4122,REAL,1
266,REAL,1
10548,FAKE,0
2551,REAL,1
10363,FAKE,0
5060,REAL,1
5183,REAL,1
2822,REAL,1
4305,REAL,1
1786,REAL,1
5685,FAKE,0
2057,REAL,1
6128,FAKE,0
7303,FAKE,0
4601,REAL,1
8367,FAKE,0
1996,REAL,1
4267,REAL,1
3077,REAL,1
2376,REAL,1
9553,FAKE,0
2570,REAL,1
4375,REAL,1
6917,FAKE,0
781,REAL,1
7811,FAKE,0
7529,FAKE,0
8353,FAKE,0
10250,FAKE,0
2619,REAL,1
8696,FAKE,0
9749,FAKE,0
693,REAL,1
4621,REAL,1
7253,FAKE,0
5869,FAKE,0
1118,REAL,1
6369,FAKE,0
7701,FAKE,0
5223,REAL,1
6113,FAKE,0
9696,FAKE,0
10124,FAKE,0
9390,FAKE,0
217,REAL,1
2634,REAL,1
3134,REAL,1
8552,FAKE,0
1590,REAL,1
704,REAL,1
7863,FAKE,0
3982,REAL,1
8614,FAKE,0
3140,REAL,1
1423,REAL,1
10518,FAKE,0
3828,REAL,1
9231,FAKE,0
8088,FAKE,0
1722,REAL,1
9307,FAKE,0
1479,REAL,1
992,REAL,1
8483,FAKE,0
1343,REAL,1
10531,FAKE,0
5330,FAKE,0
187,REAL,1
5209,REAL,1
6975,FAKE,0
9618,FAKE,0
4883,REAL,1
4750,REAL,1
7589,FAKE,0
9640,FAKE,0
8059,FAKE,0
8692,FAKE,0
5020,REAL,1
1171,REAL,1
9614,FAKE,0
7147,FAKE,0
764,REAL,1
10396,FAKE,0
1819,REAL,1
569,REAL,1
4770,REAL,1
10442,FAKE,0
1920,REAL,1
4431,REAL,1
1675,REAL,1
5057,REAL,1
9738,FAKE,0
7410,FAKE,0
5551,FAKE,0
8648,FAKE,0
9968,FAKE,0
6818,FAKE,0
188,REAL,1
5028,REAL,1
3,REAL,1
7103,FAKE,0
4561,REAL,1
7938,FAKE,0
4145,REAL,1
479,REAL,1
6132,FAKE,0
6865,FAKE,0
2532,REAL,1
7986,FAKE,0
6622,FAKE,0
4246,REAL,1
9785,FAKE,0
708,REAL,1
5485,FAKE,0
9748,FAKE,0
4563,REAL,1
6351,FAKE,0
944,REAL,1
9652,FAKE,0
821,REAL,1
6893,FAKE,0
7831,FAKE,0
5114,REAL,1
4630,REAL,1
3887,REAL,1
9253,FAKE,0
8577,FAKE,0
10130,FAKE,0
500,REAL,1
10391,FAKE,0
2497,REAL,1
9742,FAKE,0
7946,FAKE,0
6939,FAKE,0
7317,FAKE,0
2837,REAL,1
6814,FAKE,0
5871,FAKE,0
3870,REAL,1
868,REAL,1
1115,REAL,1
6863,FAKE,0
449,REAL,1
2768,REAL,1
10300,FAKE,0
9765,FAKE,0
9569,FAKE,0
3855,REAL,1
6220,FAKE,0
5849,FAKE,0
1318,REAL,1
972,REAL,1
109,REAL,1
2691,REAL,1
5772,FAKE,0
4397,REAL,1
8902,FAKE,0
2052,REAL,1
5760,FAKE,0
7169,FAKE,0
7966,FAKE,0
605,REAL,1
6895,FAKE,0
819,REAL,1
9302,FAKE,0
9565,FAKE,0
1883,REAL,1
3682,REAL,1
5826,FAKE,0
5190,REAL,1
2139,REAL,1
6437,FAKE,0
7588,FAKE,0
9443,FAKE,0
2646,REAL,1
1604,REAL,1
1424,REAL,1
6745,FAKE,0
7314,FAKE,0
10056,FAKE,0
4484,REAL,1
9835,FAKE,0
6787,FAKE,0
1297,REAL,1
5821,FAKE,0
6752,FAKE,0
8524,FAKE,0
2732,REAL,1
4088,REAL,1
578,REAL,1
1723,REAL,1
7047,FAKE,0
10133,FAKE,0
3256,REAL,1
2786,REAL,1
9930,FAKE,0
4514,REAL,1
1612,REAL,1
1951,REAL,1
9189,FAKE,0
5105,REAL,1
5401,FAKE,0
2987,REAL,1
1653,REAL,1
10061,FAKE,0
6323,FAKE,0
6742,FAKE,0
5891,FAKE,0
462,REAL,1
2102,REAL,1
6074,FAKE,0
1530,REAL,1
2588,REAL,1
6982,FAKE,0
7498,FAKE,0
10060,FAKE,0
9093,FAKE,0
4797,REAL,1
5134,REAL,1
1535,REAL,1
5128,REAL,1
4126,REAL,1
9102,FAKE,0
7132,FAKE,0
1222,REAL,1
2005,REAL,1
9514,FAKE,0
7940,FAKE,0
3081,REAL,1
324,REAL,1
5482,FAKE,0
10241,FAKE,0
9364,FAKE,0
7276,FAKE,0
17,REAL,1
7789,FAKE,0
8906,FAKE,0
10522,FAKE,0
1005,REAL,1
9397,FAKE,0
4050,REAL,1
419,REAL,1
3897,REAL,1
3761,REAL,1
8332,FAKE,0
4197,REAL,1
193,REAL,1
8974,FAKE,0
9008,FAKE,0
1014,REAL,1
126,REAL,1
1857,REAL,1
1059,REAL,1
7236,FAKE,0
10001,FAKE,0
3456,REAL,1
9613,FAKE,0
6972,FAKE,0
5728,FAKE,0
7166,FAKE,0
9965,FAKE,0
7264,FAKE,0
2211,REAL,1
8421,FAKE,0
5177,REAL,1
5185,REAL,1
7433,FAKE,0
5682,FAKE,0
5082,REAL,1
8594,FAKE,0
2086,REAL,1
4844,REAL,1
10152,FAKE,0
4494,REAL,1
7913,FAKE,0
2222,REAL,1
9275,FAKE,0
5413,FAKE,0
7742,FAKE,0
8651,FAKE,0
3566,REAL,1
9381,FAKE,0
6837,FAKE,0
2624,REAL,1
9771,FAKE,0
6474,FAKE,0
1066,REAL,1
7217,FAKE,0
825,REAL,1
9701,FAKE,0
5445,FAKE,0
2706,REAL,1
2574,REAL,1
4996,REAL,1
3764,REAL,1
7313,FAKE,0
8956,FAKE,0
6551,FAKE,0
3168,REAL,1
3494,REAL,1
9014,FAKE,0
6552,FAKE,0
5325,FAKE,0
131,REAL,1
7038,FAKE,0
6728,FAKE,0
3073,REAL,1
4047,REAL,1
5484,FAKE,0
5083,REAL,1
8039,FAKE,0
6936,FAKE,0
10028,FAKE,0
4027,REAL,1
4587,REAL,1
9242,FAKE,0
9623,FAKE,0
6159,FAKE,0
6367,FAKE,0
497,REAL,1
1532,REAL,1
6090,FAKE,0
4696,REAL,1
6210,FAKE,0
8283,FAKE,0
3821,REAL,1
7271,FAKE,0
2519,REAL,1
9917,FAKE,0
7524,FAKE,0
9913,FAKE,0
806,REAL,1
6633,FAKE,0
5236,REAL,1
8389,FAKE,0
9487,FAKE,0
8326,FAKE,0
7381,FAKE,0
7216,FAKE,0
1994,REAL,1
9314,FAKE,0
5329,FAKE,0
4070,REAL,1
612,REAL,1
5089,REAL,1
10270,FAKE,0
8752,FAKE,0
1162,REAL,1
4052,REAL,1
7114,FAKE,0
10444,FAKE,0
7146,FAKE,0
5538,FAKE,0
2004,REAL,1
9804,FAKE,0
911,REAL,1
8376,FAKE,0
7090,FAKE,0
5146,REAL,1
10,REAL,1
8505,FAKE,0
2893,REAL,1
4434,REAL,1
814,REAL,1
9432,FAKE,0
7677,FAKE,0
7095,FAKE,0
6859,FAKE,0
2036,REAL,1
7305,FAKE,0
10453,FAKE,0
90,REAL,1
5546,FAKE,0
3559,REAL,1
7425,FAKE,0
6880,FAKE,0
1241,REAL,1
9998,FAKE,0
6830,FAKE,0
7000,FAKE,0
8417,FAKE,0
8422,FAKE,0
10439,FAKE,0
4806,REAL,1
7667,FAKE,0
4398,REAL,1
8032,FAKE,0
756,REAL,1
7304,FAKE,0
3386,REAL,1
10501,FAKE,0
4178,REAL,1
1845,REAL,1
3032,REAL,1
8938,FAKE,0
6600,FAKE,0
5612,FAKE,0
2905,REAL,1
2593,REAL,1
3837,REAL,1
10113,FAKE,0
3666,REAL,1
2219,REAL,1
3848,REAL,1
9409,FAKE,0
5268,REAL,1
7823,FAKE,0
5596,FAKE,0
4328,REAL,1
9293,FAKE,0
5142,REAL,1
7480,FAKE,0
837,REAL,1
2087,REAL,1
5547,FAKE,0
10410,FAKE,0
2181,REAL,1
5590,FAKE,0
5502,FAKE,0
3247,REAL,1
7127,FAKE,0
2844,REAL,1
9169,FAKE,0
3622,REAL,1
5850,FAKE,0
3551,REAL,1
8762,FAKE,0
9428,FAKE,0
3736,REAL,1
9535,FAKE,0
4306,REAL,1
3974,REAL,1
6246,FAKE,0
5602,FAKE,0
9303,FAKE,0
3202,REAL,1
3466,REAL,1
1364,REAL,1
7200,FAKE,0
1019,REAL,1
5336,FAKE,0
9764,FAKE,0
2089,REAL,1
2189,REAL,1
2258,REAL,1
7375,FAKE,0
524,REAL,1
5147,REAL,1
7014,FAKE,0
1783,REAL,1
171,REAL,1
736,REAL,1
4283,REAL,1
10304,FAKE,0
3691,REAL,1
8709,FAKE,0
2627,REAL,1
2237,REAL,1
1064,REAL,1
849,REAL,1
1802,REAL,1
7670,FAKE,0
10462,FAKE,0
9463,FAKE,0
10340,FAKE,0
1875,REAL,1
62,REAL,1
3957,REAL,1
9525,FAKE,0
4268,REAL,1
8949,FAKE,0
6989,FAKE,0
7210,FAKE,0
3215,REAL,1
9474,FAKE,0
1753,REAL,1
4906,REAL,1
1235,REAL,1
4360,REAL,1
9977,FAKE,0
6167,FAKE,0
4076,REAL,1
9019,FAKE,0
347,REAL,1
2921,REAL,1
3002,REAL,1
7484,FAKE,0
3067,REAL,1
2912,REAL,1
6432,FAKE,0
5088,REAL,1
602,REAL,1
8181,FAKE,0
8635,FAKE,0
3173,REAL,1
4689,REAL,1
4327,REAL,1
10179,FAKE,0
2084,REAL,1
5671,FAKE,0
8497,FAKE,0
5673,FAKE,0
6319,FAKE,0
1155,REAL,1
486,REAL,1
2735,REAL,1
5812,FAKE,0
7222,FAKE,0
7223,FAKE,0
3809,REAL,1
2386,REAL,1
7922,FAKE,0
8397,FAKE,0
8525,FAKE,0
9232,FAKE,0
4370,REAL,1
10247,FAKE,0
7345,FAKE,0
2018,REAL,1
6672,FAKE,0
3641,REAL,1
1556,REAL,1
322,REAL,1
5408,FAKE,0
10372,FAKE,0
2797,REAL,1
1224,REAL,1
5439,FAKE,0
5623,FAKE,0
8473,FAKE,0
5606,FAKE,0
5753,FAKE,0
2775,REAL,1
10085,FAKE,0
6057,FAKE,0
5544,FAKE,0
144,REAL,1
750,REAL,1
72,REAL,1
7363,FAKE,0
3946,REAL,1
1006,REAL,1
3506,REAL,1
8560,FAKE,0
9097,FAKE,0
9780,FAKE,0
639,REAL,1
5899,FAKE,0
4207,REAL,1
7590,FAKE,0
7587,FAKE,0
382,REAL,1
6433,FAKE,0
5751,FAKE,0
1471,REAL,1
10557,FAKE,0
5313,FAKE,0
9927,FAKE,0
4842,REAL,1
2877,REAL,1
2241,REAL,1
2186,REAL,1
4759,REAL,1
402,REAL,1
2421,REAL,1
10441,FAKE,0
7732,FAKE,0
1791,REAL,1
2863,REAL,1
9848,FAKE,0
8082,FAKE,0
10457,FAKE,0
1983,REAL,1
4429,REAL,1
6970,FAKE,0
5939,FAKE,0
10016,FAKE,0
9203,FAKE,0
1020,REAL,1
4030,REAL,1
1760,REAL,1
5585,FAKE,0
5701,FAKE,0
3777,REAL,1
10394,FAKE,0
7635,FAKE,0
1742,REAL,1
7258,FAKE,0
244,REAL,1
2806,REAL,1
1734,REAL,1
4629,REAL,1
6722,FAKE,0
8590,FAKE,0
9375,FAKE,0
1190,REAL,1
10420,FAKE,0
5176,REAL,1
1039,REAL,1
4786,REAL,1
3859,REAL,1
6223,FAKE,0
4459,REAL,1
3727,REAL,1
1630,REAL,1
3750,REAL,1
3829,REAL,1
7560,FAKE,0
3127,REAL,1
1902,REAL,1
908,REAL,1
7426,FAKE,0
5674,FAKE,0
8699,FAKE,0
68,REAL,1
8773,FAKE,0
8933,FAKE,0
1280,REAL,1
6017,FAKE,0
3303,REAL,1
10534,FAKE,0
6754,FAKE,0
3788,REAL,1
1980,REAL,1
7438,FAKE,0
2291,REAL,1
2995,REAL,1
9723,FAKE,0
7180,FAKE,0
8801,FAKE,0
2162,REAL,1
4709,REAL,1
8640,FAKE,0
1386,REAL,1
10042,FAKE,0
5569,FAKE,0
3856,REAL,1
1785,REAL,1
8396,FAKE,0
5113,REAL,1
5903,FAKE,0
2526,REAL,1
2445,REAL,1
1326,REAL,1
8265,FAKE,0
4523,REAL,1
8527,FAKE,0
9205,FAKE,0
5513,FAKE,0
9964,FAKE,0
2434,REAL,1
6616,FAKE,0
1126,REAL,1
5793,FAKE,0
7209,FAKE,0
7015,FAKE,0
4718,REAL,1
8715,FAKE,0
9089,FAKE,0
4804,REAL,1
10101,FAKE,0
2938,REAL,1
5165,REAL,1
6905,FAKE,0
8024,FAKE,0
4542,REAL,1
4373,REAL,1
1204,REAL,1
4676,REAL,1
1247,REAL,1
3991,REAL,1
7526,FAKE,0
9615,FAKE,0
4922,REAL,1
6609,FAKE,0
10509,FAKE,0
2527,REAL,1
4830,REAL,1
6886,FAKE,0
957,REAL,1
6541,FAKE,0
1079,REAL,1
7221,FAKE,0
3529,REAL,1
8507,FAKE,0
9824,FAKE,0
3209,REAL,1
3124,REAL,1
4016,REAL,1
6632,FAKE,0
7794,FAKE,0
10538,FAKE,0
9280,FAKE,0
2946,REAL,1
8336,FAKE,0
8883,FAKE,0
3869,REAL,1
6887,FAKE,0
2611,REAL,1
9119,FAKE,0
3904,REAL,1
292,REAL,1
7325,FAKE,0
2216,REAL,1
10529,FAKE,0
4686,REAL,1
22,REAL,1
7330,FAKE,0
668,REAL,1
10036,FAKE,0
7478,FAKE,0
2436,REAL,1
8596,FAKE,0
701,REAL,1
3932,REAL,1
5195,REAL,1
9401,FAKE,0
7854,FAKE,0
1502,REAL,1
987,REAL,1
4292,REAL,1
10238,FAKE,0
2413,REAL,1
2092,REAL,1
9827,FAKE,0
469,REAL,1
5908,FAKE,0
2266,REAL,1
4567,REAL,1
4732,REAL,1
6606,FAKE,0
8927,FAKE,0
7625,FAKE,0
1929,REAL,1
6589,FAKE,0
2124,REAL,1
5755,FAKE,0
2411,REAL,1
8919,FAKE,0
7232,FAKE,0
6678,FAKE,0
4407,REAL,1
5420,FAKE,0
7859,FAKE,0
4096,REAL,1
8550,FAKE,0
8354,FAKE,0
10549,FAKE,0
590,REAL,1
4174,REAL,1
6949,FAKE,0
3435,REAL,1
1602,REAL,1
8997,FAKE,0
3112,REAL,1
926,REAL,1
9654,FAKE,0
1777,REAL,1
10023,FAKE,0
8319,FAKE,0
10378,FAKE,0
7665,FAKE,0
6115,FAKE,0
7538,FAKE,0
2009,REAL,1
4803,REAL,1
3778,REAL,1
6010,FAKE,0
4250,REAL,1
3428,REAL,1
2948,REAL,1
5560,FAKE,0
6055,FAKE,0
1406,REAL,1
5503,FAKE,0
666,REAL,1
4740,REAL,1
9098,FAKE,0
4818,REAL,1
5085,REAL,1
8195,FAKE,0
3524,REAL,1
6964,FAKE,0
9376,FAKE,0
9767,FAKE,0
30,REAL,1
8655,FAKE,0
973,REAL,1
9230,FAKE,0
10214,FAKE,0
8275,FAKE,0
6547,FAKE,0
900,REAL,1
1102,REAL,1
6497,FAKE,0
8621,FAKE,0
3454,REAL,1
